"Name","Pos.","Weight","Height","Body.Fat","Vertical","Wingspan","Standing.Reach","T.Q..Spring","L.A.T.","Season","NSeasons"
"Malik Allen","PF-C",271,0,0,29,86.5,109,3.38,11.83,2000,10
"Harold Arceneaux","SG-SF",219,0,0,29,80.5,103,0,13.8,2000,0
"Lamont Barnes","PF-C",235.5,0,0,29.5,87.5,108,3.4,12.3,2000,0
"Mario Bland","PF",287,0,0,31,84,103,3.47,13.04,2000,0
"Primoz Brezec","C",243,0,0,29.5,86,110,3.55,11.53,2000,8
"Ernest Brown","C",222.5,0,0,0,85.25,109.5,0,0,2000,1
"Speedy Claxton","PG",166,0,0,42.5,72,94.5,3.06,10.48,2000,7
"Eric Coley","SG-SF",205,0,0,38,83,102,3.15,11.4,2000,0
"Ed Cota","PG",189,0,0,33.5,76,96.5,3.24,10.98,2000,0
"Schea Cotton","SF",219.5,0,0,38,79,100,3,11.55,2000,0
"Jamal Crawford","PG-SG",175,0,0,0,82,102.5,0,0,2000,18
"Caswell Cyrus","PF",220.5,0,0,37.5,86,107.5,3.16,12.12,2000,0
"Khalid El-Amin","PG",200,0,0,32,73.5,93,3.32,10.59,2000,1
"Vassil Evtimov","PF",262,0,0,28.5,82.5,106.5,3.52,11.75,2000,0
"Antonis Fotsis","SF",219,0,0,30,80.5,106,3.44,11.6,2000,1
"Eddie Gill","PG",176,0,0,38.5,76,93,3.18,11.12,2000,7
"Ceedric Goodwyn","SF-PF",238,0,0,0,82,104.5,0,0,2000,0
"Marcus Goree","SF-PF",239,0,0,33.5,84.5,105.5,3.25,12,2000,0
"A.J. Granger","SF",227,0,0,34,81.5,103,3.25,10.73,2000,0
"A.J. Guyton","PG-SG",175,0,0,37.5,75.75,97.5,3.22,10.55,2000,3
"Ron Hale","SG-SF",202,0,0,34.5,83,104.5,3.2,12.58,2000,0
"Jason Hart","PG",181,0,0,33.5,78,97.5,3.34,11.7,2000,9
"Donnell Harvey","PF",220,0,0,32.5,84.5,105.5,0,11.23,2000,5
"Johnny Hemsley","SG-SF",200,0,0,35,80,100.5,3.19,11.5,2000,0
"Michael Hermon","SG-PG",195,0,0,33,78.25,98.5,3.25,11.79,2000,0
"Cory Hightower","SG-SF",183,0,0,34.5,83,101.5,3.37,11.92,2000,0
"Shaheen Holloway","PG",174,0,0,0,70,91,3.32,11.22,2000,0
"Eddie House","SG-PG",176.5,0,0,38.5,75.5,95,3.27,11.12,2000,11
"Jimmie Hunter","SG-PG",170,0,0,36,80,100,3.35,11.23,2000,0
"Jacob Jaacks","PF",238,0,0,32,83,105.5,3.58,11.48,2000,0
"Marko Jaric","SG-SF",210,0,0,33,81,104,3.28,11.32,2000,7
"Nate Johnson","SF",211.5,0,0,33.5,80.5,104,3.33,11.9,2000,0
"Kenyon Jones","PF-C",282,0,0,30,85,108,3.6,12.44,2000,0
"Mark Karcher","SG",218,0,0,30.5,80,102.5,3.4,11.51,2000,0
"Brandon Kurtz","PF-C",257,0,0,0,83.25,106.5,0,0,2000,0
"Dan Langhi","SF",197.5,0,0,34.5,80,104,3.24,10.85,2000,4
"Justin Love","PG-SG",205.5,0,0,38.5,76.5,97.5,3.31,10.99,2000,0
"Mark Madsen","PF",236.5,0,0,33.5,84.5,104.5,3.46,12.12,2000,9
"Dan McClintock","C-PF",250,0,0,35,85.5,107,3.33,11.52,2000,1
"Pete Mickeal","SG-SF",222,0,0,34.5,81.5,103.5,3.06,10.83,2000,0
"Brian Montonati","PF",215,0,0,29,82.5,106,3.53,11.85,2000,0
"Gabe Muoneke","PF-SF",244,0,0,34,84.5,105,3.4,11,2000,0
"Ndongo N'diaye","C",208,0,0,27.5,87.5,112.5,3.69,13.16,2000,0
"Eduardo Najera","PF-SF",234.5,0,0,35,83.5,104.5,3.45,11.38,2000,12
