Name,Wingspan,Nseasons
Carmelo Anthony,84,15
Jerome Beasley,84.5,1
Troy Bell,77,1
Keith Bogans,81.25,11
Matt Bonner,80.75,12
Chris Bosh,87.5,13
Matt Carroll,78.5,10
Nick Collison,85.5,14
Brian Cook,86,9
Marquis Daniels,82,10
Ronald Dupree,80.25,6
T.J. Ford,71.5,8
Willie Green,79.25,12
Justin Hamilton,83,3
Travis Hansen,78.5,1
Kirk Hinrich,78,13
Josh Howard,86,10
Brandon Hunter,86.75,2
LeBron James,84.25,15
Britton Johnsen,82.75,2
Dahntay Jones,81,13
James Jones,86.5,14
Chris Kaman,83.75,13
Jason Kapono,78.5,9
Brandin Knight,78,1
Kyle Korver,81.5,15
James Lang,90.25,1
Darko Milicic,89,10
Kirk Penney,77.25,2
Pavel Podkolzin,89.75,2
Josh Powell,85,7
Luke Ridnour,75,12
Theron Smith,82.25,2
Sasha Vujacic,77.5,10
Dwyane Wade,82.75,15
Luke Walton,80.5,10
David West,88.25,15
Mo Williams,77.5,13
Derrick Zimmerman,81,1
